Listing Id,Locality,Property Type,Property Subtype,Price,Fully Equipped Kitchen,Number of Rooms,Area,Garden,Terrace,Swimming Pool,New Building
4045224,8660,house,house,1450000,1.0,2,300.0,200.0,True,True,True
5750433,1180,house,villa,2750000,1.0,7,2600.0,,True,,False
6532849,1150,house,villa,3800000,1.0,7,1367.0,,True,,False
7029637,2890,house,house,210000,0.0,3,354.0,206.0,,,False
7137615,4500,house,exceptional property,600000,0.0,5,320.0,,True,,False
7330172,8300,apartment,apartment,895000,1.0,3,,,True,,False
7383345,1150,house,exceptional property,3800000,1.0,7,1390.0,,True,True,False
7394861,8300,apartment,apartment,895000,1.0,3,,,True,True,False
7405453,2220,house,house,455000,1.0,4,885.0,,,,True
7405477,2220,house,house,447600,1.0,3,970.0,,,,True
7548949,2850,house,town house,334300,1.0,4,134.0,,,,True
7549080,2850,house,town house,374300,1.0,4,150.0,,,,True
7549105,2850,house,town house,379300,1.0,4,155.0,,,,True
7549129,2850,house,town house,384300,1.0,4,254.0,,,,True
7605344,2845,house,house,392400,1.0,3,476.0,,,,True
7644259,8301,apartment,apartment,1275000,1.0,3,,,True,,False
7671265,8300,apartment,apartment,1980000,1.0,3,,,,True,False
7675486,7700,apartment,apartment,499000,0.0,5,,,True,,False
7677329,7100,apartment,apartment,205000,1.0,3,,,True,,True
7691185,8300,apartment,apartment,575000,1.0,2,,,,,False
7698119,1200,apartment,apartment,598000,1.0,3,,,True,,False
7710166,2950,house,house,5850000,1.0,5,9312.0,9000.0,True,True,False
7785520,4020,house,villa,495000,1.0,4,866.0,,True,,True
7796196,9700,apartment,apartment,285000,1.0,1,,,,,False
7798540,6224,house,house,1200000,1.0,5,1382.0,,True,,False
7799663,1050,apartment,apartment,1125000,1.0,3,,,True,,False
7813264,1050,apartment,apartment,3297000,1.0,3,,,True,,False
7866790,9600,apartment,apartment,234500,1.0,1,,,True,,False
7890191,1050,apartment,apartment,1790000,1.0,4,,,True,,False
