House Id,Locality,House Type,Subtype,Price,Kitchen Type,Room Number,Area,Garden,Terrace,Swimming Pool,New Building
4045224,8660,house,house,1450000,usa installed,2,300,200,true,true,true
5750433,1180,house,villa,2750000,hyper equipped,7,2600,,true,,false
6532849,1150,house,villa,3800000,hyper equipped,7,1367,,true,,false
7029637,2890,house,house,210000,semi equipped,3,354,206,,,false
7137615,4500,house,exceptional property,600000,,5,320,,true,,false
7330172,8300,apartment,apartment,895000,installed,3,,,true,,false
7383345,1150,house,exceptional property,3800000,hyper equipped,7,1390,,true,true,false
7394861,8300,apartment,apartment,895000,hyper equipped,3,,,true,true,false
7405453,2220,house,house,455000,hyper equipped,4,885,,,,true
7405477,2220,house,house,447600,hyper equipped,3,970,,,,true
7548949,2850,house,town house,334300,hyper equipped,4,134,,,,true
7549080,2850,house,town house,374300,hyper equipped,4,150,,,,true
7549105,2850,house,town house,379300,hyper equipped,4,155,,,,true
7549129,2850,house,town house,384300,hyper equipped,4,254,,,,true
7605344,2845,house,house,392400,hyper equipped,3,476,,,,true
7644259,8301,apartment,apartment,1275000,hyper equipped,3,,,true,,false
7671265,8300,apartment,apartment,1980000,hyper equipped,3,,,,true,false
7675486,7700,apartment,apartment,499000,semi equipped,5,,,true,,false
7677329,7100,apartment,apartment,205000,usa hyper equipped,3,,,true,,true
7691185,8300,apartment,apartment,575000,installed,2,,,,,false
7698119,1200,apartment,apartment,598000,hyper equipped,3,,,true,,false
7710166,2950,house,house,5850000,hyper equipped,5,9312,9000,true,true,false
7785520,4020,house,villa,495000,hyper equipped,4,866,,true,,true
7796196,9700,apartment,apartment,285000,installed,1,,,,,false
7798540,6224,house,house,1200000,installed,5,1382,,true,,false
7799663,1050,apartment,apartment,1125000,hyper equipped,3,,,true,,false
7813264,1050,apartment,apartment,3297000,installed,3,,,true,,false
7866790,9600,apartment,apartment,234500,installed,1,,,true,,false
7890191,1050,apartment,apartment,1790000,installed,4,,,true,,false
7895873,9250,house,mansion,299000,semi equipped,5,163,21,,,false
7903587,8300,apartment,apartment,1980000,usa installed,3,,,,,false
7912368,1180,apartment,apartment,1350000,hyper equipped,4,,800,true,true,false
7959333,8300,apartment,apartment,1500000,hyper equipped,3,,,true,,false
7961536,8700,apartment,apartment,305000,installed,2,,,,,false
7969043,8300,apartment,apartment,895000,usa hyper equipped,3,,,true,,false
7971680,1000,apartment,apartment,1950000,installed,3,,,true,,false
7976465,1050,apartment,apartment,1537000,installed,2,,,true,,false
7976466,1050,apartment,apartment,1839000,installed,3,,,true,,false
7976982,1050,apartment,apartment,3324000,installed,3,,,true,,false
7979685,2861,apartment,apartment,239500,installed,1,,,true,,false
8022136,6800,house,house,135000,not installed,2,178,,,,false
8069282,6061,apartment,apartment,139000,not installed,3,,,,,false
8095308,2830,house,mixed use building,299000,installed,3,0,,true,,false
8095309,2830,house,house,299000,installed,3,0,,true,,false
8104452,4260,house,house,275000,not installed,4,500,,true,,false
8117071,1020,house,exceptional property,990000,hyper equipped,5,315,155,true,,false
8143679,1030,apartment,apartment,1000000,installed,4,,,,,false
8153955,8400,apartment,apartment,235000,installed,2,,,true,,false
8207442,8300,apartment,apartment,445000,installed,1,,,true,true,false
8215014,7000,apartment,apartment,194000,usa installed,2,,,true,,false
8233129,8600,apartment,apartment,265000,hyper equipped,4,,,,,true
8235499,9550,apartment,apartment,229000,hyper equipped,2,,,true,,false
8255170,7090,apartment,apartment,259000,hyper equipped,3,,,true,,false
8262904,1933,apartment,apartment,620000,hyper equipped,2,,,true,,true
8263060,1933,apartment,apartment,655000,hyper equipped,3,,,true,true,true
8267840,1652,apartment,apartment,200000,installed,1,,,true,,false
8268020,1933,apartment,apartment,695000,hyper equipped,2,,,true,true,true
8294132,3080,house,villa,2350000,,5,1720,,true,,false
8297061,4620,house,mixed use building,415000,,4,484,,true,,false
8303005,8300,apartment,triplex,2200000,hyper equipped,4,,,true,,false
8303513,2170,house,mixed use building,427000,semi equipped,3,252,49,,,false
8312581,1410,apartment,penthouse,440000,not installed,3,,,true,,true
8318012,8700,apartment,apartment,279000,installed,2,,,,,false
8321371,6600,apartment,apartment,240000,installed,2,,,true,,false
8341658,1050,apartment,apartment,980000,semi equipped,2,,,true,,false
8352437,6750,house,house,175000,,4,408,300,,,false
8358685,8930,apartment,apartment,249000,installed,3,,,true,,false
